StartDate,EndDate,Duration,RecordedDate,ResponseId,UserLanguage,Approached,Consent,rawnumund18,rawnum1824,rawnumov24,highesteducation_specify,rawLACity,rawLACity_specify,reason_hmls_specify,rawsurveystatus,age_cat,elig_age,numund18Count,num1824Count,numov24Count,placelast30days,placelastnight,dwellinglast30days,dwellinglastnight,elig_placelast30days,elig_placelastnight,hmls_first_time,hmls_first_age,hmlspast1yr,hmlspast3yrs,hmls1yrpast3yrs,hmlsMoreThan1YrIn3Yr,hmlsmorethan1Yr,time_hmls,time_hmls_days,hmls_gtyr,hmls_leyr,reason_marsplit,reason_childsup,reason_hhconflict,reason_deathill,reason_domviol,reason_eviction,reason_sexorient,reason_foster,reason_medical,reason_mental,reason_nofam,reason_immig,reason_hospital,reason_jail,reason_subsabuse,reason_safety,reason_prevhouseprog,reason_unemployed,reason_livingcond,reason_other,reason_hmls_ct,car,van,rv_camper,tent,MSShelter,car_count,van_count,rv_camper_count,tent_count,MSShelter_count,any_CVRTM,place_befhmls,LAC_yrs,LAC_days,LAC_res,foster_care,mandated_stay,prison,jail,adult_probation,parole,juv_detention,Juv_probation,childsys_ilp,childsys_fcare_nonfam,childsys_fcare_fam,childsys_fcare_AB12,childsys_ct,sysinvolve_ct,justice_system,emp_status,humtraf,humtraf_other,humtraf_agri,humtraf_panhandle,humtraf_dtdsales,humtraf_restaurant,humtraf_hholdwk,humtraf_illegal,humtraf_sex,humtraf_ct,govasst_calworks,govasst_capi,govasst_ssret,govasst_ssidi,govasst_childsup,govasst_food,govasst_grga,govasst_mcaid,govasst_unemp,govasst_mcare,govasst_vetpen,govasst_vetmed,govasst_vetdis,govasst_wic,govasst_chip,govasst_mhla,govasst_fcareAB12,govasst_studentfinaid,govasst_ct,dv_neglect,dv_physical,dv_physical_rel,dv_physical_sp,dv_sexual,dv_sexual_rel,dv_sexual_sp,dv_dating,dv_stalking,domviol,dv_ct,flee_dv_hmls,highesteducation,receivedGift,survey_dropin,observed_subsabuse,observed_mental,observed_physical,observed_ct,elig_status,elig_samp,n_kid,n_und18,n_1824,n_25p,n_chron,n_fam,chronicHH,vetHH,age_und18,age_1824,hhold_type,YHH_type,mental,subsabuse,hiv,longdurcond,SamplingWeight,wtmiss,dup,first_record,CoC,male,female,gender,transgender,nonconforming,sexorient,white,black,asian,ai_an,nh_pi,multirace,NH_white,NH_black,NH_asian,NH_ai_an,NH_nh_pi,NH_multirace,race,NH_race,Hispanic,nonHispanic,ment_illness,depression,PTSD,drugabuse,alcohol,physical,otherchronhealth,braininjury,develop,phys_disab,phys_illness,otherhealth,rawveteran,veteran,vetdischarge,natguard,hispanic_specify,AmerIndAK_specify,Asian_specify,PacIsl_specify,Other_specify,otherhealth_specify,relation,indiv_seq,youth_wtadj,SPA,SD,CD,SSD,AD,USCD,city_name,Community,wt_spa,strata,observed_age,observed_gender,observed_eth,observed_race,schoolenroll
27JAN18:09:47:35,27JAN18:10:16:38,0,27JAN18:16:45:03,R_005DHIAhzquGbdp,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,,,,Complete,2,1,0,1,0,4,4,4,4,1,1,0,17,M,M,M,0,1,3,1096,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,8,0,0,0,1,1,,,,2,2,1,2,5,1826,4,1,1,0,1,0,0,0,0,1,1,1,1,4,3,1,2,0,M,M,M,,M,M,M,M,M,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,3,D,Some college or Associate's Degree,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,1,1,0,0,1,1,0,1,2,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,,0,,,,,,,0,1,1.6,1,5,0,21,36,25,Lancaster,Lancaster,1,101FG,.X - other value,2,0,2,"No, not currently enrolled in school"
24JAN18:10:36:53,24JAN18:10:51:04,0,24JAN18:10:53:02,R_04EuIaHjxmtMZCg,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,,,,Complete,2,1,0,1,0,14,4,14,4,1,1,1,,1,1,M,0,1,2.25,822,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,,,,2,,1,2,2,731,4,1,0,1,1,0,1,1,1,0,1,0,0,1,6,1,3,1,0,0,1,,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,3,0,Other (Specify):,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,,0,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,U,Don't know,0,,,,,,Over Groown Cartridge,0,1,1,2,3,6,18,39,29,Los Angeles,Arleta,2,1006FG,18-24,1,0,1,"No, not currently enrolled in school"
26JAN18:11:42:53,26JAN18:11:48:04,310,26JAN18:11:48:05,R_065EC2aZdyDAucN,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,1,1,,,,i dont like society stuff,Complete,2,1,0,2,1,12,12,12,12,1,1,0,17,M,2,M,0,1,2,731,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,,,,6,6,1,4,0.002739726,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,M,M,M,,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Some college or Associate's Degree,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,0,0,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,D,0,0,,0,,,,,,,0,1,1,5,3,11,26,62,33,Los Angeles,Venice,10,1011FG,18-24,2,0,1,"No, not currently enrolled in school"
24JAN18:09:32:59,24JAN18:09:49:14,975,24JAN18:09:49:16,R_0ARtAN6kS7tf7u9,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,1,0,real estate,Declined/Don't know,,,Complete,2,1,0,2,0,4,4,4,4,1,1,0,5,M,M,M,0,1,5,1826,1,0,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,1,0,0,1,0,2,,,2,,1,1,1,365,3,1,0,1,1,0,0,0,0,0,0,1,0,1,3,1,2,D,D,D,D,,D,D,D,D,D,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,4,X,Other (Specify):,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,0,0,3,1,0,1,,,,,,,,,,,,,M,,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,,0,,,,,,,0,1,1.6,4,3,13,24,43,28,Los Angeles,Hollywood,11,1013FG,18-24,1,1,M,"No, not currently enrolled in school"
24JAN18:10:18:18,24JAN18:10:25:07,408,24JAN18:10:25:08,R_0IgHgjdCU00WPTj,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,4,0,,,,Wanting freedom,Complete,2,1,0,5,0,4,4,4,4,1,1,1,,1,1,M,0,1,6,2192,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,,,5,,1,4,2,731,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10,0,M,M,M,,M,M,M,M,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,M,0,M,High school diploma/GED,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,0,1,1,1,1,0,0,1,1,0,0,3,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,1,4,3,5,26,50,28,Los Angeles,Mid-City West,4,1005FG,18-24,3,M,2,"No, not currently enrolled in school"
27JAN18:10:58:27,27JAN18:11:11:20,773,27JAN18:11:11:22,R_0IjxkhvjBKIY3yV,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Lancaster,,No food,Complete,2,1,0,1,0,15,15,15,15,1,1,0,16,1,2,M,0,0,0.333333333,122,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,,,,1,,1,1,1.5,548,3,1,0,0,1,0,0,0,0,0,0,1,0,1,2,1,2,0,M,M,M,,M,M,M,M,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,High school diploma/GED,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,0,,,,,,,0,1,1.2,1,5,0,21,36,25,Lancaster,Lancaster,1,101FG,18-24,1,0,2,"No, not currently enrolled in school"
26JAN18:15:44:14,26JAN18:15:53:47,0,26JAN18:17:35:20,R_0SjOECbS3S0ehXc,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Skid Row,,,Complete,2,1,0,1,0,4,4,4,4,1,1,0,14,M,M,M,0,1,9,3287,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,6,0,0,0,1,0,,,,1,,1,1,23,8401,7,1,1,0,1,1,0,1,1,0,1,0,1,2,6,1,2,1,0,0,0,,0,0,1,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,1,0,1,4,1,Less than high school diploma/No GED,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,1,1,0,0,1,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,0,1,1,4,2,14,30,53,34,Los Angeles,Skid Row,9,1014FG,18-24,2,0,2,"No, not currently enrolled in school"
24JAN18:12:03:26,24JAN18:16:23:00,0,24JAN18:17:13:08,R_0VQaFgdOnLPYipE,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,5,1,,Hollywood,,,Complete,2,1,0,6,1,4,4,4,4,1,1,0,10,M,M,M,0,1,4,1461,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,6,1,1,1,1,0,4,4,5,7,,1,1,21,7670,7,1,1,0,1,0,0,1,1,0,1,1,1,3,6,1,6,1,0,0,0,,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,1,0,1,3,0,Less than high school diploma/No GED,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,,0,,,,,,,0,1,1,4,3,13,24,43,28,Los Angeles,Hollywood,11,1013DI,18-24,1,0,2,"No, not currently enrolled in school"
08FEB18:15:26:30,08FEB18:15:37:21,0,08FEB18:19:21:48,R_0WOzk7yxo523rZg,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,1,,,,,Complete,2,1,0,1,1,15,15,15,15,1,1,1,,1,1,M,0,1,3,1096,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,,2,,2,,1,2,0.038461539,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,M,M,M,,M,M,M,M,M,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,High school diploma/GED,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,,,,,,,6,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,Spanish,,,,HS,,0,1,1.68,3,1,0,20,52,35,Pomona,Pomona,3,103FG,18-24,1,1,6,"No, not currently enrolled in school"
31JAN18:14:12:28,31JAN18:14:27:30,0,31JAN18:15:40:30,R_0ZRo0BpNDVkFwQU,EN,"Yes, proceed with survey","Yes, (Continue with the Demographic Survey)",0,0,0,,Declined/Don't know,,,Complete,2,1,0,1,0,14,14,14,14,1,1,0,15,M,M,M,0,1,3,1096,1,0,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,0,0,0,0,1,,,,,1,1,1,5,1826,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,M,M,M,,M,M,M,M,M,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,2,0,High school diploma/GED,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,2,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,2,0,1,1,0,0,1,1,1,1,0,1,1,1,0,R,0,,R,,,,,,,0,1,1.2,6,2,10,30,54,37,Los Angeles,Baldwin Hills / Crenshaw,6,1010FG,18-24,1,0,2,"No, not currently enrolled in school"
